id,name,slug,universityType,populationType,cost,undergraduates,admissionRate,freshmanSatisfaction,inStateTuition,outOfStateTuition,admissionDeadline,chance,applicationStatus,financialAidStatus,address.street1,address.city,address.state,address.zipCode
1233,Brewton-Parker College,brewton-parker-college,Private,Coed,$$,783.0,54% of 589 applicants were admitted,49.0,"  $18,240","  $18,240",Rolling,,,,"201 David-Eliza Fountain Circle, PO Box 197",Mt. Vernon,GA,30445
309,Briar Cliff University,briar-cliff-university,Private,Coed,,1117.0,"51% of 1,741 applicants were admitted",78.9,Not reported,Not reported,,,,,3303 Rebecca Street,Sioux City,IA,51104-0100
1444,Bridgewater College,bridgewater-college,Private,Coed,$$$,1713.0,"67% of 6,279 applicants were admitted",72.0,"  $37,720","  $37,720",Rolling,,,,402 East College Street,Bridgewater,VA,22812-1599
158,Bridgewater State University,bridgewater-state-university,Public,Coed,,9504.0,"90% of 6,806 applicants were admitted",78.0,Not reported,Not reported,February 15,,,,45 Plymouth St,Bridgewater,MA,02325
1069,Brigham Young University,brigham-young-university,Private,Coed,$,31292.0,"67% of 10,500 applicants were admitted",90.0,"   $5,970","   $5,970",December 15,,,,D155 ASB,Provo,UT,84602-1001
983,Brigham Young University - Hawaii,brigham-young-university-hawaii,Private,Coed,,2555.0,"58% of 1,295 applicants were admitted",62.0,Not reported,Not reported,February 15,,,,55-220 Kulanui Street,Laie,HI,96762-1294
3044,Brigham Young University - Idaho,brigham-young-university-idaho,Private,Coed,,32458.0,"96% of 8,034 applicants were admitted",71.0,Not reported,Not reported,February 15,,,,525 South Center Street,Rexburg,ID,83460
3396,Broadview University-West Jordan,broadview-university-west-jordan,,Coed,,229.0,Not reported,,Not reported,Not reported,Rolling,,,,1902 West 7800 South,West Jordan,UT,84088
3397,Brookline College - Phoenix Campus,brookline-college-phoenix-campus,,Coed,,1468.0,Not reported,,Not reported,Not reported,Rolling,,,,"2445 West Dunlap Avenue, Suite 100",Phoenix,AZ,85021
789,Brooklyn College (City University of New York),brooklyn-college-city-university-of-new-york,Public,Coed,,14406.0,"37% of 20,608 applicants were admitted",82.0,"   $7,240","  $18,510",February 1,,,,2900 Bedford Avenue,Brooklyn,NY,11210-2889
163,Brown University,brown-university,Private,Coed,$$$,7160.0,"7% of 38,674 applicants were admitted",97.9,"  $60,596","  $60,596",January 5,,,,One Prospect Street,Providence,RI,02912
515,Bryan College,bryan-college,Private,Coed,$$,1266.0,51% of 990 applicants were admitted,71.0,"  $16,900","  $16,900",Rolling,,,,721 Bryan Drive,Dayton,TN,37321
3243,Bryan College of Health Sciences,bryan-college-of-health-sciences,Private,Coed,,,52% of 107 applicants were admitted,,"  $18,420","  $18,420",,,,,1535 South 52nd Street,Lincoln,NE,68506
3264,Bryant & Stratton College - Eastlake Campus,bryant-stratton-college-eastlake-campus,Private for-profit,Coed,,762.0,Not reported,28.0,Not reported,Not reported,Rolling,,,,35350 Curtis Boulevard,Eastlake,OH,44095
3265,Bryant & Stratton College - Parma Campus,bryant-stratton-college-parma-campus,Private for-profit,Coed,,528.0,Not reported,60.0,Not reported,Not reported,Rolling,,,,12955 Snow Road,Parma,OH,44130-1005
177,Bryant University,bryant-university,Private,Coed,$$$,3259.0,"71% of 7,632 applicants were admitted",87.0,"  $46,863","  $46,863",February 1,,,,1150 Douglas Pike,Smithfield,RI,02917
6,Bryn Athyn College,bryn-athyn-college,Private,Coed,,309.0,89% of 250 applicants were admitted,86.0,Not reported,Not reported,February 1,,,,"2965 College Drive, PO Box 717",Bryn Athyn,PA,19009-0717
